,0,1,2
1131,Kirsten Gillibrand,"""One in five"" women in the military ""are receiving unwanted sexual contact,"" as are ""3.3 percent of men.""",Mostly True
1132,Tom Cotton,"""In barely four years in office, five jihadists have reached their targets in the United States under Barack Obama,"" compared to zero ""in over seven years after 9/11 under George W. Bush.""",Mostly False
1133,Eric Cantor,"""Why is President Obama unnecessarily delaying your flight? FAA could cut other spending.""",Mostly False
1134,Peter King,"The Boston Marathon bombing ""is the fifth case"" in which U.S. government officials examined individuals potentially involved in terrorism ""and felt they were no threat and they went on to carry out terrorist murders.""",Mostly True
1135,Dianne Feinstein,"""No poll done this year ... shows less than a majority to reinstate a federal ban on assault weapons.""",Mostly True
1136,Barack Obama,"A ""wide majority of NRA households ... supported this legislation"" on gun background checks.",Mostly True
1137, Bloggers,"Proposed immigration legislation would give new immigrants ""a taxpayer-funded cellular phone.""",False
1138,Barack Obama,"A bipartisan background check amendment ""outlawed any (gun) registry. Plain and simple, right there in the text.""",True
1139, National Rifle Association,"The Manchin-Toomey amendment ""would have criminalized certain private transfers of firearms between honest citizens, requiring lifelong friends, neighbors and some family members"" to get government approval.",Mostly False
1140,Barack Obama,"""The NRA used to support expanded background checks.""",True
1141,Gabrielle Giffords,"Polls show that Americans ""overwhelmingly"" support ""expanding background checks.""",True
1142,John Duncan,"""Well over 90 percent of felony cases, all over the nation, are committed by defendants who grew up in father-absent households.""",Mostly False
1143,Marco Rubio,"The immigration proposal from the Gang of Eight ""is not amnesty.""",Half-True
1144,Jeff Sessions,"Says President Barack Obama ""has allowed, each year he's been here, the prosecutions of gun cases (for background check failures) to go down. ... They've declined every year since President Bush left office.""",Half-True
1145, Arizona Citizens Defense League,"Says a gun bill before the Senate would make it a federal felony to ""leave town for more than seven days, and leave someone else at home with your firearms.""",Half-True
1146, Arizona Citizens Defense League,"Says a gun bill before the Senate ""is proposing the universal registration of all firearms and their owners.""",False
1147,Cathy McMorris Rodgers,"""We have the fewest people employed in this country since 1979.""",Half-True
1148,Dick Cheney,"Says its ""an old wives story"" that Margaret Thatcher told George H.W. Bush not to go wobbly.",False
1149,Dannel Malloy,"Air travelers ""cant get on a plane in the United States without someone doing a background check"" on them.",Half-True
1150,Rahm Emanuel,"Says in Chicago, ""we take more guns off the streets than New York or L.A.""",True
1151,Ted Cruz,"""Expanding Medicaid will worsen health care options for the most vulnerable among us in Texas.""",False
1152, Facebook posts,"A new law ""requires the USDA to approve the harvest and sale of crops from genetically modified seed even if a court has ruled against the crop as being dangerous to public safety or the environment.""",Half-True
1153,Fred Thompson,"Says that under President Barack Obamas health care law, ""your insurance"" premiums could go up by 200 percent and cost ""as much as a new Explorer.""",False
1154,Mark Kelly,"Says ""94 percent of (Marco Rubio's) constituents support a universal background check.""",True
1155,Charles Cooper,"""Very few men outlive their own fertility.""",Half-True
1156,Sal Albanese,"An annual income of $500,000 ""in Manhattan, believe it or not, is middle class.""",False
1157,Wayne LaPierre,"Says New York Mayor Michael Bloomberg says ""we can only have three bullets"" and ""the NRA wants firearms with nukes on them.""",Half-True
1158,Michael Bloomberg,"""If you go back to 1999, Wayne LaPierre testified on behalf of the NRA that background checks were appropriate and should be done.""",True
1159, Tweets,"While the sequester is in effect, the federal government is still funding a study on duck penises.",Mostly True
1160, Bloggers,The Air Force wants taxpayers to fund a fantasy football league.,False
1161,Ted Cruz,"""We have a federal government that thinks they have the authority to regulate our toilet seats.""",True
1162,Harry Reid,"""In the last two years, we have reduced the deficit by $2.5 trillion.""",False
1163,Michele Bachmann,"""Scientists tell us that we could have a cure in 10 years for Alzheimer's"" were it not for ""overzealous regulators, excessive taxation and greedy litigators.""",Pants on Fire!
1164,Sarah Palin,"""Seven of the 10 highest-income counties in the country ring the city"" of Washington D.C.",True
1165,Frank Keating,"""In the United States, 50 percent of social services are provided by the Catholic church.""",False
1166,Michele Bachmann,"Of every ""three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.""",Pants on Fire!
1167,Paul Ryan,"""Our debt is already bigger than our economy.""",Half-True
1168,Rand Paul,"Says the federal government is supporting a study in Hawaii to ""develop a menu for when we colonize Mars.""",Mostly True
1169,Virginia Foxx,"""There are 3.6 million jobs sitting vacant, in part because there arent enough qualified applicants to fill them.""",Mostly True
1170,Nancy  Pelosi,"""More than 64 percent of minimum-wage earners are women.""",True
1171,Rand Paul,"""When (John) Brennan ... was asked directly  Is there any geographic limitation to your drone strike program? Brennan responded and said, no, there is no limitation.""",True
1172,Dianne Feinstein,"""We have no regulation of drones in the United States in their commercial use.""",False
1173,Debbie Wasserman Schultz,"Says Jeb Bush ""flip-flop-flip(ped) on immigration.""",True
1174,Rand Paul,"""The president is advocating a drone strike program in America.""",False
1175,Rand Paul,"""When the president's spokesman was asked about (Anwar) al-Awlaki's son,  he said he should have chosen a more responsible father.""",Half-True
1176,Al Cardenas,"Of $60 billion Congress approved in response to Hurricane Sandy, ""only 10 percent was for disaster relief.""",False
1177,John Roberts,"""Do you know which state has the worst ratio of white voter turnout to African-American voter turnout? Massachusetts. Do you know what has the best, where African-American turnout actually exceeds white turnout? Mississippi.""",Half-True
1178,John Boehner,"""There's no plan from Senate Democrats or the White House to replace the sequester.""",Pants on Fire!
1179,Barack Obama,Says a majority of Americans -- and Republicans -- support his approach for deficit reduction.,Mostly True
1180,Ami Bera,"Due to the sequester, ""people are going to be unsafe. Homes are going to burn.""",Mostly False
1181,Arne Duncan,"""There are literally teachers now who are getting pink slips"" because of sequestration.",Mostly False
1182,Kevin McCarthy,"Says the federal government is earning more tax revenue now ""than any other time.""",Mostly False
1183,Raymond LaHood,"""There's going to be a slowdown and delays in flights"" as a result of the sequester.",Mostly True
1184,Jimmy Carter,"""When I ran against incumbent President Gerald Ford, you know how much money we raised? None.""",Mostly True
1185,Bill Nelson,"In a budget deal struck in 2011 ""a trillion dollars of cuts went into effect immediately, and then a special committee was set up ... to get agreement on another $3 trillion of cuts.""",Half-True
1186,Barack Obama,"If the sequester hits, federal prosecutors will have to ""let criminals go.""",Mostly False
1187,Barack Obama,"Says if Congress doesnt avoid the sequester, ""tens of thousands of parents will have to scramble to find child care for their kids.""",Half-True
1188,Barack Obama,"If the sequester hits, ""hundreds of thousands of Americans will lose access to primary care and preventive care like flu vaccinations and cancer screenings.""",Half-True
1189,Barack Obama,"The sequester ""wont consider whether were cutting some bloated program that has outlived its usefulness, or a vital service that Americans depend on every single day. It doesnt make those distinctions.""",Mostly True
1190,Wayne LaPierre,"Says after Hurricane Sandy, New York Mayor Michael Bloomberg ""refused to allow the National Guard into the city to restore civil order because Guardsmen carry guns!""",Mostly False
1191,Wayne LaPierre,"""The president flagrantly defies the 2006 federal law ordering the construction of a secure border fence along the entire Mexican border.""",Mostly False
1192,Wayne LaPierre,"""Phoenix is already one of the kidnapping capitals of the world.""",False
1193,Steny Hoyer,"""The majority of (the American people) voted for a Democratic House.""",Mostly True
1194,Donald Rumsfeld,Says wrestling was a favorite sport of Abraham Lincoln.,True
1195,John Cornyn,"Says of a failed cloture vote on nominating Chuck Hagel for defense secretary: ""This is not a filibuster.""",Mostly False
1196,Barack Obama,"""The 12 hottest years on record have come in the last 15 years.""",True
1197,Barack Obama,"""Already, the Affordable Care Act is helping to slow the growth of (Medicares) health care costs.""",Half-True
1198,Barack Obama,Says he and Mitt Romney agreed on tying minimum wage increases to inflation.,Mostly True
1199,Barack Obama,"""We have doubled the distance our cars will go on a gallon of gas.""",False
1200,Barack Obama,"""Throughout, we have kept Congress fully informed of our efforts"" to create a legal framework on counterterrorism.",False
1201,Barack Obama,"Says ""overwhelming majorities of Americans"" support gun legislation ""like background checks.""",Mostly True
1202,Marco Rubio,"Military spending cuts, known as the sequester, were President Barack Obamas idea.",Half-True
1203,Barack Obama,"Says his administration has made ""progress"" on border enforcement by ""putting more boots on the southern border than at any time in our history and reducing illegal crossings to their lowest levels in 40 years.""",Half-True
1204,Barack Obama,"""After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three.""",True
1205,Zoe Lofgren,"""With the exception of slavery and the Chinese Exclusion Act, our laws have never barred persons from becoming citizens.""",Mostly True
1206, Facebook posts,"""Washington, D.C., now has greater population than Wyoming and Vermont, more active duty military than 29 states, more tax revenue than 29 states (and) a larger domestic product than 27 states.""",Half-True
1207,Wayne LaPierre,"""As a result of National Rifle Association and other private-sector (safety-education) programs, fatal firearms accidents are at the lowest level in 100 years.""",Half-True
1208,Rush Limbaugh,"Research shows that ""a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and that's what they support.""",Mostly False
1209,Stephen King,"Says since Australia passed tough gun laws, ""homicides by firearm have declined almost 60 percent.""",Mostly True
1210,Kirsten Gillibrand,"""Today, about 40 percent of guns are purchased without a background check.""",Half-True
1211, Americans for a Strong Defense,"Says Chuck Hagel has called for ""an end to our nuclear program.""",Mostly False
1212,Dianne Feinstein,"""One out of every five law enforcement officers that's killed is killed with an assault weapon.""",Mostly True
1213,Marco Rubio,"""Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.""",Half-True
1214,Sean Hannity,"Under President Barack Obama, ""8.3 (million) fewer Americans are working today than there were four years ago.""",False
1215,Ron DeSantis,"The tax penalty that the government imposes if you don't buy health insurance ""is lower than it would have cost to buy insurance.""",True
1216,Jackie Speier,"""Even members of the NRA, when they were polled recently, were under the impression that everyone has a criminal background check.""",Mostly True
1217,Bernie Sanders,"""Poverty levels (are) at an all-time high.""",Mostly False
1218,Mark Shields,"Since 1968, ""more Americans have died from gunfire than died in  all the wars of this country's history.""",True
1219, Facebook posts,"In 2011, more people were murdered with knives, ""hands or feet"" or ""clubs and hammers"" than with any type of rifle.",True
1220,Ileana Ros-Lehtinen,"Says Chuck Hagel ""opposed sanctions against Iran.""",Half-True
1221, Emergency Committee for Israel,"""While President Obama says all options are on the table for preventing a nuclear Iran, Hagel says military action is not a viable, feasible, responsible option.""",Mostly False
1222, American International Group,"AIG has fully repaid the federal government ""plus a profit of more than $22 billion.""",Mostly True
1223,Allen West,"""This week the House of Representatives voted to remove the word lunatic from federal law.""",True
1224,Alan Grayson,"Says Walmart employees represent the largest group of Medicaid and food stamp recipients in many states, costing the taxpayer $1,000 per worker.",Mostly True
1225, Priorities USA Action,"""Mitt Romney made over a hundred million dollars by shutting down (a Marion, Ind. paper) plant.""",Mostly False
1226, Priorities USA Action,"Says Mitt Romney ""was director of a company that stole millions from Medicare.""",Mostly True
1227,Michael Moore,"Says during George W. Bushs administration ""we were losing millions of jobs per month,"" while under Barack Obama we have ""three years of gaining hundreds of thousands of jobs per month.""",False
1228, Planned Parenthood Action Fund,"Says Mitt Romney wants to ""get rid of Planned Parenthood.""",Mostly False
1229, Florida Democratic Party,"Says ""Romney supported a law that could have made most common forms of birth control illegal.""",False
1230,Adam Putnam,"An Obama campaign tactic for rallying voters is to ""offer them cell phones.""",Pants on Fire!
1231,Barack Obama,"Says ""Mitt Romneys plan rolls back regulations"" on banks.",Mostly True
1232,Barack Obama,"""There are millions of women all across the country who rely on Planned Parenthood for not just contraceptive care; they rely on it for mammograms.""",Half-True
1233,Barack Obama,"Says Mitt Romneys plan makes ""catastrophic cuts to education.""",Half-True
1234,Clint Eastwood,"""We borrow $4 billion every single day, much of it from China.""",Half-True
1235,Mitt Romney,"Says Barack Obama ""sold Chrysler to Italians who are going to build Jeeps in China"" at the cost of American jobs.",Pants on Fire!
1236,Mitt Romney,"""Women in Barack Obama's White House are earning less than men.""",Half-True
1237,Mitt Romney,"""Under President Obama: $4,000 tax hike on middle-class families.""",Pants on Fire!
1238, Let Freedom Ring,Says GM used taxpayer dollars to prop up operations in China.,False
1239,Barack Obama,"""The sequester is not something that I've proposed. It is something that Congress has proposed.""",Mostly False
1240,Barack Obama,Says Mitt Romney wants to add $2 trillion to defense budget that the military hasnt asked for.,True
1241,Barack Obama,"Says Romney said ""we should ask Pakistan for permission"" to take a shot at Osama bin Laden.",Half-True
1242,Mitt Romney,"Says Barack Obama was silent on Iran ""when the students took to the streets in Tehran and the people there protested, (and) the Green Revolution occurred.""",Mostly False
1243,Mitt Romney,"""Pakistan has 100 nuclear warheads and theyre rushing to build a lot more. Theyll have more than Great Britain sometime in the relatively near future.""",Mostly True
1244,Barack Obama,"Says Mitt Romney ""just gave a speech a few weeks ago"" and said ""we should still have troops in Iraq.""",Mostly True
1245,Mitt Romney,"""Latin Americas economy is almost as big as the economy of China.""",Half-True
1246,Barack Obama,"Says Mitt Romney was clear that he ""would not provide government assistance to the U.S. auto companies, even if they went through bankruptcy.""",Mostly False
1247,Barack Obama,"""Veterans unemployment is actually now lower than (the) general population. It was higher when I came into office.""",Half-True
1248,Mitt Romney,"""I went to the Olympics that was out of balance, and we got it on balance.""",Mostly True
1249,Mitt Romney,"""The president said he was going to create daylight between ourselves and Israel.""",Mostly True
1250,Barack Obama,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",Half-True
1251,Mitt Romney,"Says a university survey concluded his Massachusetts administration ""had more women in senior leadership positions than any other state in America.""",Mostly True
1252, Planned Parenthood,"Says Mitt Romney and George Allen ""would overturn Roe v. Wade and allow states to end safe, legal abortion even in cases of rape, incest or when a woman's life is at risk.""",Half-True
1253,Barack Obama,"""George Bush never suggested that we eliminate funding for Planned Parenthood.""",Mostly True
1254,Linda McMahon,"As a Member of Congress, Chris Murphy ""was raking in $1 million in salary.""",False
1255,Mitt Romney,"""Regulations have quadrupled. The rate of regulations quadrupled under this president.""",False
1256,Barack Obama,"Says his administration put more border patrol agents on the U.S.-Mexico border than at ""any time in history, and the flow of undocumented workers across the border is actually lower than it's been in 40 years.""",Half-True
1257,Barack Obama,"Says his administration has created ""5 million jobs  over the last 30 months in the private sector alone.""",Half-True
1258,Barack Obama,"Says Mitt Romney suggested that ""employers should be able to make the decision as to whether or not a woman gets contraception through her insurance coverage.""",True
1259,Barack Obama,"Says Mitt Romney ""called the Arizona law a model for the nation.""",False
1260,Mitt Romney,"Says Barack Obama began his presidency ""with an apology tour.""",Pants on Fire!
1261,Mitt Romney,"Says President Obama waited two weeks to call the attack in Libya ""terror.""",Half-True
1262,Barack Obama,Says Mitt Romney refused to say whether he'd sign the Lilly Ledbetter bill.,Mostly True
1263,Barack Obama,"When Mitt Romney was governor of Massachusetts, he ""stood in front of a coal plant and pointed at it and said, This plant kills.""",True
1264,Mitt Romney,"""Oil production is down 14 percent this year on federal land.""",Half-True
1265,Mitt Romney,Says Obama broke his promise to offer a comprehensive immigration bill in his first year.,True
1266,Joe Biden,"Paul Ryan ""cut embassy security in his budget by $300 million below what we asked for.""",Half-True
1267,Paul Ryan,Says six studies verify that the math adds up for Mitt Romneys tax plan.,Mostly False
1268,Barack Obama,"As governor, ""Mitt Romney raised nursing home fees eight times.""",Mostly False
1269,Paul Ryan,"Says the Obama administration ""watered down sanctions"" against Iran, delayed them and tried to stop Congress ""from putting the tough sanctions in place.""",Mostly False
1270,Barack Obama,"Says economists Harvey Rosen and Martin Feldstein have said that ""paying for (Mitt) Romneys tax cuts would require large tax increases on families making between $100,000 and $200,000.""",Mostly False
1271,Paul Ryan,"Says Joe Biden ""went to China and said that he sympathized and wouldn't second-guess their one-child policy of forced abortions and sterilizations.""",Mostly False
1272,Joe Biden,"""There's not one Democrat who endorses"" the Romney-Ryan Medicare plan.",True
1273,Paul Ryan,"""The Canadians  they (dropped) their tax rates to 15 percent. The average tax rate on businesses in the industrialized world is 25 percent.""",Mostly True
1274,Joe Biden,"""We weren't told they wanted more security "" for diplomatic facilities in Libya.",Mostly False
1275,Paul Ryan,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",Half-True
1276,Paul Ryan,Says Obama was in New York City the same day as Israeli Prime Minister Benjamin Netanyahu but went on a TV show instead of meeting with him.,False
1277,Paul Ryan,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,Mostly False
1278,Joe Biden,"On ending the war in Iraq, ""Gov. Romney said that was a tragic mistake, we should have left 30,000 troops there.""",Half-True
1279,Paul Ryan,Says Obama promised unemployment would never go above 8 percent.,Mostly False
1280,Joe Biden,"Says Mitt Romney and Paul Ryan would ""eliminate the guarantee of Medicare.""",Half-True
1281, Emergency Committee for Israel,"""When Congress voted to condemn Iran for sentencing a Christian pastor to death, (U.S. Rep. Lois) Capps was the only member who voted no.""",Mostly False
1282,Mitt Romney,"""Since President Obama took office, there are over 450,000 more unemployed women.""",Half-True
1283, Priorities USA Action,"Says Romney wants to ""take away early childhood education, slash K-12 funding, and cut college aid  to pay for a $250,000 tax break for multi-millionaires.""",Mostly False
1284, American Crossroads,"President Barack Obamas ""spending drove us $5 trillion deeper in debt.""",Half-True
1285,Barack Obama,"Says Romney invested in a firm that made goods in China that ""could have been made here in America.""",Mostly False
1286, American Crossroads,"""This is what President Obama said the jobless rate would be if we passed the stimulus: 5.6 percent.""",Mostly False
1287,Barack Obama,"The federal tax code has ""loopholes that are giving incentives for companies that are shipping jobs overseas.""",True
1288,Barack Obama,"""In Romney's first budget (in Massachusetts), he cut $248.7 million from K-12 education.""",Half-True
1289, American Future Fund,"Under Barack Obama, the U.S. now has the ""lowest workforce since (President Jimmy) Carter.""",Mostly False
1290,Mitt Romney,"""In one year, (President Obama) provided $90 billion in breaks to the green energy world  into solar and wind, to Solyndra and Fisker and Tesla and Ener1.""",False
1291,Barack Obama,Says 50 million people would lose their health insurance if Obamacare is repealed.,Mostly False
1292,Mitt Romney,"Says President Obama has ""doubled"" the deficit.",False
1293,Mitt Romney,"""Pre-existing conditions are covered under my (health care) plan.""",Mostly False
1294,Mitt Romney,"Massachusetts schools ""are ranked No. 1 of all 50 states.""",Mostly True
1295,Barack Obama,Says Romney wants to add $2 trillion to the defense budget that the military hasnt asked for.,True
1296,Barack Obama,"""Under Gov. Romney's definition ... Donald Trump is a small business.""",False
1297,Barack Obama,"Because of Obamacare, ""over the last two years, health care premiums have gone up -- it's true -- but they've gone up slower than any time in the last 50 years.""",False
1298,Barack Obama,"Romneys Medicare plan was estimated to ""cost the average senior about $6,000 a year.""",Half-True
1299,Mitt Romney,Says Obama promised to cut the deficit in half.,True
1300,Barack Obama,"Obama says hes ""put forward a specific $4 trillion deficit reduction plan.""",Half-True
1301,Mitt Romney,"""Right now, the (Congressional Budget Office) says up to 20 million people will lose their insurance as Obamacare goes into effect next year.""",False
1302,Barack Obama,"Says Mitt Romney's plan ""calls for a $5 trillion tax cut.""",Half-True
1303,Mitt Romney,"Says Barack Obama ""put in place a board that can tell people ultimately what treatments they're going to receive.""",Mostly False
1304,Mitt Romney,"""Were now spending 42 percent of our economy on government.""",Mostly True
1305,Barack Obama,"Romney ""would turn Medicare into a voucher program.""",Mostly True
1306,Mitt Romney,"""On Medicare for current retirees, he's cutting $716 billion from the program.""",Half-True
1307,Paul Ryan,"Says President Barack Obama ""already passed all these Obamacare taxes. About a dozen of them hit middle-income taxpayers.""",Mostly False
1308, Americans For Tax Reform,"The Obama administrations ""green"" stimulus program ""funneled close to $2 billion dollars to overseas firms,"" creating thousands of jobs in China.",Mostly False
1309,Barack Obama,"Chinese tire imports threatened 1,000 American jobs, so President Obama ""stood up to China and protected American workers. Mitt Romney attacked Obama's decision.""",Mostly True
1310, Workers' Voice,Says Mitt Romneys investments created zero jobs.,Pants on Fire!
1311,Barack Obama,"""Taxes are lower on families than they've been probably in the last 50 years.""",Mostly True
1312, National Republican Congressional Committee,"Says Illinois Democrat David Gill ""would end Medicare.""",Pants on Fire!
1313,Bill Clinton,"Says the government has ""gotten the TARP money back plus a profit.""",Mostly False
1314,Barack Obama,"""Over the last four years, the deficit has gone up, but 90 percent of that is as a consequence of"" President George W. Bushs policies and the recession.",False
1315, Government is Not God PAC,"""Barack Hussein Obama will  force doctors to assist homosexuals in buying surrogate babies.""",Pants on Fire!
1316, Government is Not God PAC,"Says Obama is only president in history who has deliberately removed the words ""endowed by their Creator"" when referring to the Declaration of Independence.",False
1317, Government is Not God PAC,"""Barack Hussein Obama will ... force local authorities to allow Occupy protesters to live in parks.""",Pants on Fire!
1318, Government is Not God PAC,"""Barack Hussein Obama will ... force Christian schools to hire non-Christian teachers.""",False
1319, Government is Not God PAC,"""Barack Hussein Obama will .. force Christian organizations to pay for abortions.""",Mostly False
1320, Government is Not God PAC,"""Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.""",Pants on Fire!
1321, Americans For Tax Reform,Says Obama sent $450 million to China to build a wind farm in Texas.,Pants on Fire!
1322,Mitt Romney,"College tuition ""costs have risen by 25 percent under the Democrats.""",Mostly False
1323, Secure America Now,"Says Obama adviser David Plouffe took ""large piles of cash"" from a joint venture partner of a company owned by Irans Revolutionary Guard.",Mostly True
1324,Barack Obama,"Says Romney tax plan ""could take away middle-class deductions for child care, mortgages and college tuition.""",Mostly False
1325, Restore Our Future,"""Eight million Americans have dropped out of the work force since (Barack) Obama became president. ... The real unemployment rate is 19 percent.""",Mostly False
1326,Mitt Romney,"""Redistribution"" has ""never been a characteristic of America.""",Pants on Fire!
1327,Barack Obama,"""Even today part of Romneys fortune is invested in China.""",Mostly True
1328,Mitt Romney,"""Seven times Obama could have stopped China's cheating. Seven times, he refused.""",Half-True
1329,Mitt Romney,"""Under Obama, families have lost over $4,000 a year in income.""",Half-True
1330,Barack Obama,"Says Romney and Ryan ""both backed proposals that would outlaw abortions even in cases of rape or incest.""",Half-True
1331,Mitt Romney,"The ""48, 49 percent"" that supports President Barack Obama are ""people who pay no income tax.""",False
1332,Mitt Romney,"""Forty-seven percent of Americans pay no income tax.""",True
1333,Mitt Romney,"""Fifty percent of kids coming out of school can't get a job.""",Mostly True
1334,Mitt Romney,"Says President Obama promised ""he'd keep unemployment below 8 percent"" if the stimulus passed.",Mostly False
1335,Barack Obama,"Says he ""will protect your guaranteed benefits"" in Medicare while ""Mitt Romney would take away Medicare as guaranteed benefits.""",Half-True
1336,Barack Obama,"Says that under Mitt Romney, 89 million Americans could be denied coverage if they have a pre-existing condition.",Half-True
1337,Mitt Romney,Says five studies show his tax plan can cut rates and still bring the same revenue without raising taxes on the middle class.,Mostly False
1338,Mitt Romney,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",Mostly False
1339,Paul Ryan,"Says he and Mitt Romney ""always said that we agree with the 2014 deadline"" for leaving Afghanistan.",Mostly True
1340, Chain email,"On new dollar coins, ""'In God We Trust' is gone!""",False
1341,Barack Obama,"""We've doubled our use of renewable energy.""",Mostly False
1342,Barack Obama,"""After 30 years of inaction, we raised fuel standards so that by the middle of the next decade, cars and trucks will go twice as far on a gallon of gas.""",Half-True
1343,Bill Clinton,"The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""",True
1344,Bill Clinton,"Says President Barack Obama ""gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.""",Mostly True
1345,Barack Obama,Says Romney called Russia our No. 1 enemy.,Mostly True
1346,Barack Obama,"""I've cut taxes for ... middle-class families, small businesses.""",Mostly True
1347,Barack Obama,"Says his budget plan ""would cut our deficits by $4 trillion.""",Half-True
1348,Barack Obama,"""After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years.""",True
1349,Jennifer Granholm,"Says that Mitt Romney's response to the crisis in the auto industry was, ""Let Detroit go bankrupt.""",Half-True
1350,James Clyburn,"When Social Security, Medicare and Medicaid were created, ""Republicans stood on the sidelines""",False
1351,Rahm Emanuel,Says Mitt Romney asked for a waiver from federal welfare rules.,Mostly False
1352,Ted Strickland,"Ohio has ""created 45,000 new manufacturing jobs since 2010. And that's due in large part to the fact that the auto rescue has helped Ohio.""",Half-True
1353,Bob King,"Under President Barack Obamas leadership, ""since June 2009, (the auto) industry has added a quarter of a million jobs.""",True
1354,Bill Clinton,"Says U.S. Rep. Paul Ryan attacked the president for ""the same amount of Medicare savings that (Ryan) had in his own budget.""",True
1355,Bill Clinton,"""In the last 29 months, our economy has produced about 4.5 million private-sector jobs.""",Mostly True
1356,Bill Clinton,"The stimulus program ""cut taxes for 95 percent of the American people.""",Half-True
1357,Bill Clinton,"""Since 1961  our private economy has produced 66 million private-sector jobs. So what's the jobs score? Republicans 24 million, Democrats 42 (million).""",True
1358,Kamala Harris,"Mitt Romney said we should let foreclosures ""hit the bottom.""",Half-True
1359,Diana DeGette,"Women ""receive only 77 cents for every dollar a man earns.""",Mostly True
1360,Jack Markell,"When it comes to jobless workers, ""Mitt Romney says he likes to fire people.""",False
1361,Kathleen Sebelius,"""Republicans would give seniors a (Medicare) voucher that limits what's covered, costing seniors as much as $6,400 more a year.""",Half-True
1362,Julin Castro,"""Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.""",Mostly True
1363,Martin O'Malley,"Says Mitt Romney has put forward a plan ""that would cut taxes for millionaires while raising them for the middle class.""",Half-True
1364,Deval Patrick,"""By the time(Mitt Romney)left office, Massachusetts was 47th in the nation in job creation.""",Half-True
1365,Mitt Romney,"At Bain Capital, ""we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.""",True
1366,Mitt Romney,"Under the ""Obama economy ... utility bills are higher.""",Half-True
1367,Mitt Romney,"In his first TV interview as president, Obama said we ""should talk to Iran.""",True
1368,Mitt Romney,"Barack Obama began his presidency ""with an apology tour.""",Pants on Fire!
1369,Mitt Romney,"""The majority of Americans now doubt that our children will have a better future.""",Half-True
1370,Jeb Bush,"""In Massachusetts, Gov. Romney narrowed the gap between students of different races.""",Half-True
1371,Callista Gingrich,"President Barack Obama has ""weakened the respect for America abroad.""",Mostly False
1372,Nikki Haley,"Says ""President Obama and his National Labor Relations Board"" sued Boeing over its decision to open a plant in South Carolina.",Half-True
1373,Paul Ryan,"President Obama ""funneled"" $716 billion out of Medicare ""at the expense of the elderly.""",Mostly False
1374,John Thune,"The Obama administration ""even proposed banning farm kids from doing basic chores!""",Pants on Fire!
1375,Rob Portman,"Barack Obama has ""never even worked in business.""",False
1376,Rick Santorum,"When his grandfather arrived in the United States, ""there were no government benefits for immigrants.""",False
1377,Scott Walker,"""Last month, 44 of the 50 states saw an increase in the unemployment rate.""",Half-True
1378,Sher Valenzuela,"""AGallup report recently said that nearly 50 percent of small business owners aren't hiring because of what they call regulatory uncertainty.""",Half-True
1379,Michele Bachmann,"""A report just came out that if we continue with President Obama's policies, we're looking at over 9 percent unemployment next year in the fourth quarter.""",False
1380,Artur Davis,"The health care law imposes a federal mandate requiring middle-class Americans to buy health insurance ""whether they can afford it or not.""",Mostly False
1381,Chris Christie,"There has been ""$5 trillion in debt added over the last four years.""",Mostly True
1382,Rick Santorum,"Says President Obama has waived ""the work requirement for welfare.""",Pants on Fire!
1383,Reince Priebus,"Mitt Romney ""gave away his father's inheritance.""",True
1384,Stephanie Cutter,"In the past 27 months, President Barack Obama has created more private-sector jobs than ""in the Reagan recovery.""",False
1385,Charlie Crist,"Republicans included ""the Akin amendment in the Republican Party platform, which bans abortion, even for rape victims.""",Half-True
1386,Mitt Romney,"""In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare.""",True
1387, Special Operations OPSEC Education Fund,"The Obama administration ""willfully leaked the existence of STUXNET (a computer worm used against Iran), allowing our enemies to learn more of our secrets and of our operations.""",Half-True
1388,Barack Obama,"Paul Ryans Medicare plan ""could raise future retirees costs more than $6,000.""",Half-True
1389,Barack Obama,"""Mitt Romney says class sizes dont matter.""",True
1390, Special Operations OPSEC Education Fund,"The Obama administration ""leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.""",False
